0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
[illustration] [blazon or coat of arms],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in the Street (an Infant) at St. Bennet Paulsâˆ£wharf,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild with a fall at St. Giles Cripplegate,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murthered at St. Martin in the Fields,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursh,,,,,,2.0,,,,,1.0,4.0,,,1,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiffick,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,
Vomiting,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,7.0,10.0,,1.0,2.0,3.0,4.0,1.0,,2.0,,,,2.0,,1.0,,,
Gowt,,,,,,,1.0,3.0,,1.0,1.0,2.0,,,1,,,,,,,,1.0,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,2.0,,
"Kild 2, one aboard a Ship, with a Capsten Barr, at St. Katheâˆ£rins Tower, and one with a fall of a House at St. Mary Whitechappel",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poysoned her self at St. Anne Blackfryers,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopping of the Stomach,,,,,,,11.0,15.0,11.0,8.0,,,4.0,6.0,,,8,6.0,,,,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned at Lambeth,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild 3, one at St. Margaret Westminster, and one in a Brewers Malt-mill at St. Marâˆ£tin Vintery, and one by a fall from a Ladder at St. Giles in the Fields",,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethargy,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,
Drowned at St. Kath. Tower,,,,,,,,,1.0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead in the Street at Stepney,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kild accidentally with a Carâˆ£bine, at St. Michael Woodâˆ£strect",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouldsallen,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oveâ€¢laid,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickâ€¢ts,,,,,,,,,9.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scalded in a Bâ€¢ewers Mash, at St. Giles Cripplegate",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt by a fall into the fire at St. Giles in the Fields,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned in a Tub of water at St. Martins in the Fields,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead (an Infant) at St. Andrew Halborn,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanged her self at St. Saviours Southwark,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kild by the fall of a Scaffold at St. Bartholomew the Great,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt (accidentally) at St. Giles Cripplegate,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Found dead (a Woman) at St. Andrew Holborn,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livergrown,,,,,,,,,,,1.0,2.0,,,1,,,,1.0,,3.0,,,,,,1.0,,1.0,1.0,3.0,1.0,,,1.0,,2.0,,,,,,1.0,1.0,,,,,,,,
Râ€¢ckets,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T mpany,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
